periode,inflasi
2010-01,3.72
2010-02,3.81
2010-03,3.43
2010-04,3.91
2010-05,4.16
2010-06,5.05
2010-07,6.22
2010-08,6.44
2010-09,5.8
2010-10,5.67
2010-11,6.33
2010-12,6.96
2011-01,7.02
2011-02,6.84
2011-03,6.65
2011-04,6.16
2011-05,5.98
2011-06,5.54
2011-07,4.61
2011-08,4.79
2011-09,4.61
2011-10,4.42
2011-11,4.15
2011-12,3.79
2012-01,3.65
2012-02,3.56
2012-03,3.97
2012-04,4.5
2012-05,4.45
2012-06,4.53
2012-07,4.56
2012-08,4.58
2012-09,4.31
2012-10,4.61
2012-11,4.32
2012-12,4.3
2013-01,4.57
2013-02,5.31
2013-03,5.9
2013-04,5.57
2013-05,5.47
2013-06,5.9
2013-07,8.61
2013-08,8.79
2013-09,8.4
2013-10,8.32
2013-11,8.37
2013-12,8.38
2014-01,8.22
2014-02,7.75
2014-03,7.32
2014-04,7.25
2014-05,7.32
2014-06,6.7
2014-07,4.53
2014-08,3.99
2014-09,4.53
2014-10,4.83
2014-11,6.23
2014-12,8.36
2015-01,6.96
2015-02,6.29
2015-03,6.38
2015-04,6.79
2015-05,7.15
2015-06,7.26
2015-07,7.26
2015-08,7.18
2015-09,6.83
2015-10,6.25
2015-11,4.89
2015-12,3.35
2016-01,4.14
2016-02,4.42
2016-03,4.45
2016-04,3.6
2016-05,3.33
2016-06,3.45
2016-07,3.21
2016-08,2.79
2016-09,3.07
2016-10,3.31
2016-11,3.58
2016-12,3.02
2017-01,3.49
2017-02,3.83
2017-03,3.61
2017-04,4.17
2017-05,4.33
2017-06,4.37
2017-07,3.88
2017-08,3.82
2017-09,3.72
2017-10,3.58
2017-11,3.3
2017-12,3.61
2018-01,3.25
2018-02,3.18
2018-03,3.4
2018-04,3.41
2018-05,3.23
2018-06,3.12
2018-07,3.18
2018-08,3.2
2018-09,2.88
2018-10,3.16
2018-11,3.23
2018-12,3.13
2019-01,2.82
2019-02,2.57
2019-03,2.48
2019-04,2.83
2019-05,3.32
2019-06,3.28
2019-07,3.32
2019-08,3.49
2019-09,3.39
2019-10,3.13
2019-11,3.0
2019-12,2.72
2020-01,2.68
2020-02,2.98
2020-03,2.96
2020-04,2.67
2020-05,2.19
2020-06,1.96
2020-07,1.54
2020-08,1.32
2020-09,1.42
2020-10,1.44
2020-11,1.59
2020-12,1.68
2021-01,1.55
2021-02,1.38
2021-03,1.37
2021-04,1.42
2021-05,1.68
2021-06,1.33
2021-07,1.52
2021-08,1.59
2021-09,1.6
2021-10,1.66
2021-11,1.75
2021-12,1.87
2022-01,2.18
2022-02,2.06
2022-03,2.64
2022-04,3.47
2022-05,3.55
2022-06,4.35
2022-07,4.94
2022-08,4.69
2022-09,5.95
2022-10,5.71
2022-11,5.42
2022-12,5.51
2023-01,5.28
2023-02,5.47
2023-03,4.97
2023-04,4.33
2023-05,4.0
2023-06,3.52
2023-07,3.08
2023-08,3.27
2023-09,2.28
2023-10,2.56
2023-11,2.86
2023-12,2.61
2024-01,2.57
2024-02,2.75
2024-03,3.05
2024-04,3.0
2024-05,2.84
2024-06,2.51
2024-07,2.13
2024-08,2.12
2024-09,1.84
2024-10,1.71
2024-11,1.55
2024-12,1.57
2025-01,1.57
2025-02,1.64
2025-03,1.65
2026-01,1.06
2026-02,1.01
2026-03,1.03
